# BOIC Annual Data
TKR	Year	HighPrice	LowPrice	EPS	Div	BookValue	CashFlow	Sales	PTP	NetIncome	TaxRatePct	DilutedShares	LTDebt	TotalDebt
BIG	2008	35.33	12.93	1.89	0	8.5416	1.4904	4645.283	249.706	151.547	38.0	82.076	0	66.743
BIG	2009	31.39	12.62	2.44	0	10.7781	3.7895	4726.772	323.345	200.369	37.7	82.681	0	4.786
BIG	2010	41.42	27.82	2.83	0	12.8129	2.6431	4952.244	355.384	222.524	37.4	78.581	0	3.552
BIG	2011	44.44	28.89	2.99	0	12.9421	2.6964	5202.269	341.892	207.064	39.4	69.419	65.9	69.015
BIG	2012	47.2195	26.69	2.93	0	10.9302	2.478	5400.119	294.313	177.121	39.8	60.476	171.2	174.269
BIG	2013	39.22	26.49	2.15	0	13.9306	1.6141	5301.912	185.887	125.295	32.9	57.958	77	77
BIG	2014	51.75	25.5	2.46	0.51	13.4862	4.0521	5177.078	221.9	114.276	38.4	55.552	62.1	62.1
BIG	2015	51.11	33.78	2.81	0.76	12.9788	4.2454	5190.582	226.85	142.873	37.0	50.964	62.3	62.3
BIG	2016	56.54	35.86	3.32	0.84	12.3156	4.8319	5200.439	244.241	152.828	37.5	45.974	106.4	106.4
BIG	2017	64.42	45.1	4.38	1	13.4577	2.4855	5270.98	295.354	189.832	35.7	43.3	199.8	199.8
CP	2008	76.18	26.62	3.98	0.994	32.0204	1.2005	4931.6	478.8	619	-29.3	155.6	4685.8	4879.9
CP	2009	55.43	25.11	3.67	0.99	38.0148	-1.0246	4303.2	713.9	612.4	14.2	166.8	4102.7	4494.8
CP	2010	67.03	46.13	3.85	1.058	28.5144	-1.3239	4981.5	870.8	650.7	25.3	169.2	4033.2	4314.9
CP	2011	69.92	44.74	3.34	1.17	29.9591	-3.4701	5177	697	570	18.2	170.6	4695	4772
CP	2012	102.8	66.23	2.79	1.35	29.4556	1.0393	5695	636	484	23.9	173.2	4636	4690
CP	2013	156.96	103.82	4.96	1.4	32.2672	4.0453	6133	1125	875	22.2	176.5	4687	4876
CP	2014	220.2	139.37	8.46	1.4	36.776	3.8647	6620	2038	1476	27.6	174.4	5659	5793
CP	2015	198.44	122.27	8.4	1.4	18.8021	5.8199	6712	1959	1352	31.0	161	8927	8957
CP	2016	157.34	97.09	10.63	1.85	23.6705	6.0266	6232	2152	1599	25.7	150.5	8659	8684
CP	2017	183.82	141.32	16.44	2.188	30.5606	5.7553	6554	2498	2405	3.7	146.3	7413	8159
CRI	2008	22.39	11.935	1.29	0	7.5752	2.5069	1490.016	117.407	75.058	36.1	58.276	334.523	338.026
CRI	2009	29.49	13.86	1.97	0	9.5805	2.6609	1589.677	183.828	115.64	37.1	58.3477	331.02	334.523
CRI	2010	34.24	22.19	2.46	0	11.8301	0.7801	1749.256	233.386	146.472	37.2	59.016	236	236
CRI	2011	41.7	26.5	1.94	0	13.1686	0.6112	2109.734	180.888	114.016	37.0	58.2149	236	236
